rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
1,qgallouedec,0.006195663033192948,0.010845271555961373,1.0,16,4,0.3057318466800656,5,0.11514242424242425,33
2,LysandreJik,0.004730733020999246,0.00017405954637358581,0.9375,15,3,0.28319451107231175,5,0.6205090909090909,11
3,jiqing-feng,0.0022959297859587754,6.250962759889357e-05,0.875,14,2,0.2634371248026632,5,0.42422608695652175,69
4,Jintao-Huang,0.0018733230046600203,4.632409902418006e-05,0.875,14,1,0.2632632264315713,5,0.14314615384615387,26
5,ArthurZucker,0.002837446290619806,0.026219812128802575,0.75,12,154,0.23400092215488869,5,0.18547115987460816,319
6,molbap,0.006002557930799562,0.000686117579121189,0.6875,11,12,0.20885685844605617,4,0.31772608695652177,23
7,arjunaskykok,0.001874356998652137,0.0,0.6875,11,0,0.20699974279946085,4,-0.05814285714285715,21
8,AmitMY,0.0014278945372729506,0.0,0.625,10,0,0.18807115781490918,5,0.33067,40
9,jackzhxng,0.001860910854001648,8.7439062415119e-06,0.5625,9,1,0.16949698751347309,4,0.4933363636363637,11
10,romitjain,0.001967542814212109,0.0,0.5,8,0,0.15078701712568485,5,0.3828666666666667,21
11,juzhxng,0.0017722312374590574,0.0,0.5,8,0,0.15070889249498362,3,0.40630000000000005,6
12,simonreise,0.0017705187609855918,0.0,0.5,8,0,0.15070820750439423,4,0.3394,11
13,vadimkantorov,0.0015426204403193185,6.027714089893309e-05,0.5,8,2,0.1506351313183974,5,0.17399777777777778,45
14,avihu111,0.0017522718702960556,0.0012728150838708047,0.4375,7,1,0.13233275327327967,5,0.4222470588235294,17
15,MHRDYN7,0.0020025109872976467,1.1720555174792546e-05,0.4375,7,1,0.1320545205614715,3,0.6382076923076923,13
16,PamelaBha,0.0015497454348506405,0.00013004235027269824,0.4375,7,2,0.13190891087902207,3,0.471225,16
17,mobicham,0.0009757276398838136,8.316012957352806e-05,0.4375,7,2,0.13166523909482558,5,0.040799999999999996,13
18,Rocketknight1,0.003708478542492318,0.020425206858496813,0.375,6,374,0.12011095347454596,5,0.17081581569115814,803
19,albertvillanova,0.002980928187187732,0.0023871980282677463,0.375,6,3,0.11440853068335541,4,0.2510590909090909,22
20,vasqu,0.0014130324837262679,0.004418314427891795,0.375,6,98,0.11439070732185803,5,0.2574722891566265,249
22,Kaihui-intel,0.0024206663798321845,0.0,0.375,6,0,0.11346826655193286,5,-0.4203333333333334,3
23,mitchelldehaven,0.0019065878931466766,0.0,0.375,6,0,0.11326263515725866,3,0.16743333333333332,6
24,ariG23498,0.0013116780579351215,0.00078267262889448,0.375,6,8,0.11325947301184239,4,0.29293125,16
25,lucasjinreal,0.001662201256951783,1.1162433499802425e-05,0.375,6,1,0.11316822923283064,3,0.1429181818181818,11
26,xin3he,0.0016454113439604027,4.46497339992097e-06,0.375,6,1,0.11315950402960413,5,0.6021555555555556,9
27,jood-canva,0.0014325315001089609,1.1348474058132466e-05,0.375,6,1,0.11307641714226101,3,0.45984545454545456,11
28,kmod,0.0014296693973669017,0.0,0.375,6,0,0.11307186775894675,4,0.06265,6
29,jamesbraza,0.0013851740879331012,0.0,0.375,6,0,0.11305406963517323,3,0.1333111111111111,9
30,Hermit-w,0.0012799581308836805,0.0,0.375,6,0,0.11301198325235347,5,0.28565,12
31,AngledLuffa,0.0012666843464820003,0.0,0.375,6,0,0.11300667373859279,4,0.32280588235294116,17
32,kaixuanliu,0.0011860580172670262,0.0,0.375,6,0,0.1129744232069068,4,0.08967647058823527,17
33,anakin87,0.0010505241794150533,0.0,0.375,6,0,0.11292020967176601,4,0.23815714285714287,7
34,SunMarc,0.002801080495908151,0.016235945566020957,0.3125,5,93,0.09974121586816954,5,0.32215079365079363,189
35,yiliu30,0.005241740411162563,5.916089754895285e-05,0.3125,5,1,0.09586444443372971,3,0.6123818181818182,11
36,EIIvy,0.0029753824321993856,0.0,0.3125,5,0,0.09494015297287975,3,-0.1489111111111111,9
38,aselimc,0.0024755607776353263,0.0,0.3125,5,0,0.09474022431105412,3,0.04038333333333335,6
42,rahul-tuli,0.0019694084688361368,0.0,0.3125,5,0,0.09453776338753446,3,-0.19456666666666667,3
43,zouYC2021,0.001968512354831811,0.0,0.3125,5,0,0.09453740494193272,3,0.12526,5
46,math-hiyoko,0.001559738213886407,0.0,0.3125,5,0,0.09437389528555457,4,0.2863833333333334,12
