rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,innat,0.0142923642507649,0.029870501923536033,1.0,51,26,0.31467809627736676,8
2,fchollet,0.029947952183804298,0.09502171727552301,0.8431372549019608,43,207,0.29342687252676686,8
3,drasmuss,0.005023285891227234,0.01427801082754324,0.5098039215686274,26,1,0.15923389407534208,8
4,pure-rgb,0.0035128465296384785,0.0042406389854021485,0.4117647058823529,21,1,0.1262067420721819,8
5,AGFACBNNR,0.003445610111320181,0.00025678699485078054,0.39215686274509803,20,2,0.11910233896651272,8
6,pass-lin,0.0029958440744187373,0.00023764092456298534,0.37254901960784315,19,1,0.11303433578948933,8
7,LarsKue,0.0035629826854680605,0.0029416801213366602,0.3333333333333333,17,2,0.10230769711058821,8
8,martin-gorner,0.0017464646660521783,0.0006177360210353859,0.27450980392156865,14,4,0.08323684784920207,8
9,edwardyehuang,0.006332593468222454,0.019899230432009158,0.23529411764705882,12,3,0.07909104181100937,7
10,dryglicki,0.0031208571061064182,0.004505649873879728,0.2549019607843137,13,6,0.0790706260399006,7
11,amadhan882,0.002547105378779454,0.004503368453196513,0.2549019607843137,13,2,0.07884044092276485,6
12,lbortolotti,0.002797787516752364,0.00023643189282408417,0.2549019607843137,13,1,0.07766063280984228,8
13,MathiesW,0.001849941818133045,0.0,0.23529411764705882,12,0,0.07132821202137087,7
14,mattdangerw,0.003227152511386008,0.015611203895156849,0.21568627450980393,11,62,0.07068010452604265,8
15,emi-dm,0.004146466485565659,0.0022919285626085656,0.19607843137254902,10,5,0.06116969457477354,8
16,foxik,0.0022602675423014965,0.002960507607348729,0.19607843137254902,10,5,0.06061578871088992,8
17,ageron,0.0017506739306725886,0.0,0.19607843137254902,10,0,0.05952379898403374,7
18,Zhaopudark,0.0016231516135132129,0.0,0.19607843137254902,10,0,0.05947279005716999,6
19,roebel,0.0013966014880096324,0.0,0.19607843137254902,10,0,0.059382170006968556,6
20,jvishnuvardhan,0.001617078189755569,0.00861593246241293,0.17647058823529413,9,46,0.05617278748521434,8
