rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
1,innat,0.0142923642507649,0.029870501923536033,1.0,51,26,0.31467809627736676,8,0.20612118644067795,236
2,fchollet,0.029947952183804298,0.09502171727552301,0.8431372549019608,43,207,0.29342687252676686,8,0.31061137820512824,624
3,drasmuss,0.005023285891227234,0.01427801082754324,0.5098039215686274,26,1,0.15923389407534208,8,0.10712564102564102,39
4,pure-rgb,0.0035128465296384785,0.0042406389854021485,0.4117647058823529,21,1,0.1262067420721819,8,0.11141090909090909,55
5,AGFACBNNR,0.003445610111320181,0.00025678699485078054,0.39215686274509803,20,2,0.11910233896651272,8,-0.09096046511627907,43
6,pass-lin,0.0029958440744187373,0.00023764092456298534,0.37254901960784315,19,1,0.11303433578948933,8,0.2249979591836735,49
7,LarsKue,0.0035629826854680605,0.0029416801213366602,0.3333333333333333,17,2,0.10230769711058821,8,0.20468000000000003,40
8,martin-gorner,0.0017464646660521783,0.0006177360210353859,0.27450980392156865,14,4,0.08323684784920207,8,0.11450882352941176,34
9,edwardyehuang,0.006332593468222454,0.019899230432009158,0.23529411764705882,12,3,0.07909104181100937,7,0.016865714285714293,35
10,dryglicki,0.0031208571061064182,0.004505649873879728,0.2549019607843137,13,6,0.0790706260399006,7,-0.03215999999999999,40
11,amadhan882,0.002547105378779454,0.004503368453196513,0.2549019607843137,13,2,0.07884044092276485,6,0.12683653846153845,52
12,lbortolotti,0.002797787516752364,0.00023643189282408417,0.2549019607843137,13,1,0.07766063280984228,8,0.41595185185185185,27
13,MathiesW,0.001849941818133045,0.0,0.23529411764705882,12,0,0.07132821202137087,7,0.12034375,16
14,mattdangerw,0.003227152511386008,0.015611203895156849,0.21568627450980393,11,62,0.07068010452604265,8,0.4329805369127517,149
15,emi-dm,0.004146466485565659,0.0022919285626085656,0.19607843137254902,10,5,0.06116969457477354,8,0.21299090909090912,44
16,foxik,0.0022602675423014965,0.002960507607348729,0.19607843137254902,10,5,0.06061578871088992,8,0.2532142857142857,21
17,ageron,0.0017506739306725886,0.0,0.19607843137254902,10,0,0.05952379898403374,7,0.45375000000000004,18
18,Zhaopudark,0.0016231516135132129,0.0,0.19607843137254902,10,0,0.05947279005716999,6,0.09813333333333334,12
19,roebel,0.0013966014880096324,0.0,0.19607843137254902,10,0,0.059382170006968556,6,0.23416923076923077,26
20,jvishnuvardhan,0.001617078189755569,0.00861593246241293,0.17647058823529413,9,46,0.05617278748521434,8,0.5545255319148936,94
21,old-school-kid,0.001511389900556699,0.008087776213575633,0.17647058823529413,9,23,0.055972065294883605,8,0.2910173913043478,46
22,chenmoneygithub,0.002120308155055027,0.004423317755759936,0.17647058823529413,9,15,0.055116295059338224,7,0.4212711111111111,45
23,shkarupa-alex,0.0013408088575745164,0.00423024156459186,0.17647058823529413,9,4,0.0547465724829956,7,0.11347812500000001,32
24,sayakpaul,0.002515450235517438,0.0010971671803904303,0.17647058823529413,9,2,0.05427650671891234,7,0.36789999999999995,24
25,Isa-Fay,0.0021722466982262005,0.0,0.17647058823529413,9,0,0.05381007514987871,5,-0.12959,10
26,ILCSFNO,0.002003313816470445,0.0,0.17647058823529413,9,0,0.053742501997176416,6,0.3341285714285714,28
27,DLumi,0.0018233243269448066,7.571892204212769e-06,0.17647058823529413,9,1,0.05367277776902742,6,-0.149968,25
28,markub3327,0.0016473468643015334,0.0,0.17647058823529413,9,0,0.05360011521630885,6,0.4956,24
29,dkgaraujo,0.0014201911387498587,0.0,0.17647058823529413,9,0,0.05350925292608818,7,0.034668000000000004,25
30,ghost,0.0012968532579372613,0.0,0.17647058823529413,9,0,0.05345991777376314,7,0.003565000000000007,20
31,kiukchung,0.002020631836159681,0.005234059222102036,0.1568627450980392,8,3,0.04943729403050625,7,0.6265875,8
32,tosubmitissue,0.0027676411285913736,0.0,0.1568627450980392,8,0,0.048165879980848314,5,0.5829799999999999,5
33,markomitos,0.0022657320337281074,0.0,0.1568627450980392,8,0,0.04796511634290301,5,-0.0005833333333333246,18
34,ningxiudg,0.001980501967651779,0.0,0.1568627450980392,8,0,0.04785102431647248,5,0.5581625,8
35,SamuelMarks,0.001605245638717562,0.0,0.1568627450980392,8,0,0.04770092178489879,6,0.58461875,16
36,Gandalf401,0.001583043620572845,0.0,0.1568627450980392,8,0,0.047692040977640904,5,0.0467888888888889,9
37,larschristensen,0.001310856616704883,0.0,0.1568627450980392,8,0,0.04758316617609372,5,0.03208571428571429,14
38,ariG23498,0.003165722491115145,0.003854675585190777,0.13725490196078433,7,1,0.043599162260238584,6,0.5352133333333333,15
39,AdityaKane2001,0.0028226404122555036,0.0035938453940540286,0.13725490196078433,7,7,0.043383680371353706,7,0.322103125,32
40,AakashKumarNain,0.002810465643387604,0.002796758882681802,0.13725490196078433,7,10,0.04313968451039488,7,0.3251962264150943,53
41,GallagherCommaJack,0.004275293403585036,0.0,0.13725490196078433,7,0,0.042886587949669305,6,0.1862875,8
42,khteh,0.002890645916937998,0.0,0.13725490196078433,7,0,0.042332728955010494,5,0.03968620689655172,29
43,cheyennee,0.001999423349743636,0.0,0.13725490196078433,7,0,0.04197623992813275,6,-0.2034705882352941,17
44,Doch88,0.0013472369887831096,3.582087465839117e-05,0.13725490196078433,7,3,0.04172611164614606,5,0.007266666666666675,9
45,minsung-kang94,0.0012838575667045368,0.0,0.13725490196078433,7,0,0.04169001361491711,5,0.3946,13
