rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,atalman,0.03347213405240984,0.0940812892851663,1.0,39,22,0.3416132404065138,5
2,zou3519,0.01715628517257124,0.02980024082965259,0.5384615384615384,21,14,0.1773410478563858,5
3,maybeLee,0.0064895902904488385,0.0,0.5128205128205128,20,0,0.15644198996233336,5
4,malfet,0.016792227596133424,0.09902810651473755,0.3333333333333333,13,93,0.13642532299287463,5
5,jasminetrail,0.008770112292050125,0.0,0.358974358974359,14,0,0.11120035260912774,5
6,xmfan,0.0069007271140678235,0.018953605751734104,0.3076923076923077,12,10,0.10075406487883967,5
7,Shawn0v0,0.005334554456392166,0.0,0.3076923076923077,12,0,0.09444151409024917,5
8,kwen2501,0.005697343304116573,0.0367911885124452,0.2564102564102564,10,5,0.0902393707984571,5
9,kshitij12345,0.0036687902721659568,0.0048431259828318725,0.28205128205128205,11,7,0.08753583851910055,5
10,himi1008,0.005171280825038602,0.0,0.28205128205128205,11,0,0.08668389694540005,5
11,fffrog,0.005846016698159426,0.009795942332707036,0.2564102564102564,10,3,0.0822002663021528,4
12,pytorch-bot[bot],0.00577946156231355,0.0,0.2564102564102564,10,0,0.07923486154800233,4
13,Blooming-Tree,0.004969878986289329,0.0,0.2564102564102564,10,0,0.07891102851759264,5
14,weifengpy,0.00539503695937284,0.022968238710217317,0.23076923076923078,9,14,0.07827925562758356,5
15,guangyey,0.00671016097408526,0.014185239001415472,0.23076923076923078,9,10,0.07617040532082799,5
16,huydhn,0.0056344420262969905,0.03618164226452996,0.20512820512820512,8,6,0.07464673102833932,5
17,galv,0.004270406790985075,0.007757561066384597,0.23076923076923078,9,2,0.07326620026707864,5
18,wuyii8941,0.00449025420537834,0.0,0.23076923076923078,9,0,0.07102687091292056,5
19,sssssh1228,0.004118118735653672,0.0,0.23076923076923078,9,0,0.0708780167250307,5
20,hiahu329,0.003748248779526018,0.0,0.23076923076923078,9,0,0.07073006874257964,4
21,rookieLiu2018,0.002634027901255071,0.0,0.23076923076923078,9,0,0.07028438039127126,5
22,ezyang,0.004256068046649317,0.018753979599567844,0.20512820512820512,8,11,0.06886708263699161,5
23,svekars,0.005596401551348322,0.008171941995471409,0.20512820512820512,8,4,0.06622860475764228,3
24,ad8e,0.0022808063207940903,0.011225329607682551,0.20512820512820512,8,1,0.06581838294908393,5
25,liqiangxl,0.0036221958964532666,0.007569027421968598,0.20512820512820512,8,10,0.06525804812363342,5
26,beanduan22,0.004492350955693466,0.0,0.20512820512820512,8,0,0.06333540192073892,4
27,prorrice,0.0030101445325176374,0.0,0.20512820512820512,8,0,0.06274251935146859,5
28,Lucaskabela,0.00486143117006665,0.010019638144638148,0.1794871794871795,7,10,0.058796617757571945,5
