rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
1,glemaitre,0.016386263859721303,0.06663079444482044,1.0,51,266,0.32654374387733465,10
2,adrinjalali,0.013700946217587603,0.05345519559431921,0.8431372549019608,43,227,0.27445811363591904,10
3,lesteve,0.0164256462282614,0.03546426838253225,0.803921568627451,41,164,0.2583860095942995,10
4,lorentzenchr,0.01198151154224551,0.02966014471690128,0.803921568627451,41,88,0.2548671186202039,10
5,StefanieSenger,0.01367031351815753,0.026062257925255166,0.803921568627451,41,52,0.25446327337307484,10
6,ogrisel,0.018539663859161257,0.031957812361330336,0.7843137254901961,40,196,0.25229732689912243,10
7,jeremiedbb,0.009286824991516096,0.030965416658810696,0.5686274509803921,29,119,0.18359259028836727,10
8,lucyleeow,0.007159751961481727,0.019953759287308092,0.5294117647058824,27,28,0.16767355798254982,10
9,jjerphan,0.009100556259155915,0.01324703359145504,0.5294117647058824,27,26,0.16643786199286356,10
10,scikit-learn-bot,0.015271451965886758,0.0,0.49019607843137253,25,0,0.15316740431576645,10
11,ArturoAmorQ,0.004233572545347221,0.00405051499132537,0.45098039215686275,23,9,0.1382027011625953,10
12,betatim,0.004729324685750429,0.021372170747442125,0.35294117647058826,18,138,0.11418573403970927,10
13,adam2392,0.004372595517065843,0.014250492524684365,0.3333333333333333,17,29,0.10602418596423163,10
14,antoinebaker,0.004016389153220255,0.005642322412882877,0.3137254901960784,16,8,0.0974168994439765,10
15,cakedev0,0.003487529868808827,0.0043155055595348905,0.29411764705882354,15,12,0.09092495773303107,10
16,amueller,0.004562999094971749,0.008499386584519705,0.2549019607843137,13,5,0.08084560384863872,9
17,howarth,0.003703610760337774,0.0,0.23529411764705882,12,0,0.07206967959825275,4
18,GaelVaroquaux,0.0023265221355799636,0.009292829916621843,0.21568627450980393,11,25,0.06842434018215972,10
19,Remi-Gau,0.002354206400990245,0.00597929143786838,0.21568627450980393,11,4,0.0674413523446978,10
20,reshamas,0.0018901451200873927,0.0,0.21568627450980393,11,0,0.06546194040097614,10
