rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
1,glemaitre,0.016386263859721303,0.06663079444482044,1.0,51,266,0.32654374387733465,10,0.15808777056277057,924
2,adrinjalali,0.013700946217587603,0.05345519559431921,0.8431372549019608,43,227,0.27445811363591904,10,0.28529363636363636,770
3,lesteve,0.0164256462282614,0.03546426838253225,0.803921568627451,41,164,0.2583860095942995,10,0.23156390593047035,978
4,lorentzenchr,0.01198151154224551,0.02966014471690128,0.803921568627451,41,88,0.2548671186202039,10,0.20861421052631576,380
5,StefanieSenger,0.01367031351815753,0.026062257925255166,0.803921568627451,41,52,0.25446327337307484,10,0.329667,300
6,ogrisel,0.018539663859161257,0.031957812361330336,0.7843137254901961,40,196,0.25229732689912243,10,0.15194777562862669,1034
7,jeremiedbb,0.009286824991516096,0.030965416658810696,0.5686274509803921,29,119,0.18359259028836727,10,0.24663766578249335,377
8,lucyleeow,0.007159751961481727,0.019953759287308092,0.5294117647058824,27,28,0.16767355798254982,10,0.25896820276497695,217
9,jjerphan,0.009100556259155915,0.01324703359145504,0.5294117647058824,27,26,0.16643786199286356,10,0.22952056074766355,107
11,ArturoAmorQ,0.004233572545347221,0.00405051499132537,0.45098039215686275,23,9,0.1382027011625953,10,0.3961232558139535,43
12,betatim,0.004729324685750429,0.021372170747442125,0.35294117647058826,18,138,0.11418573403970927,10,0.30377940503432493,437
13,adam2392,0.004372595517065843,0.014250492524684365,0.3333333333333333,17,29,0.10602418596423163,10,0.3905551401869159,107
14,antoinebaker,0.004016389153220255,0.005642322412882877,0.3137254901960784,16,8,0.0974168994439765,10,0.23893673469387755,49
15,cakedev0,0.003487529868808827,0.0043155055595348905,0.29411764705882354,15,12,0.09092495773303107,10,0.23128727272727273,110
16,amueller,0.004562999094971749,0.008499386584519705,0.2549019607843137,13,5,0.08084560384863872,9,0.217245,20
17,howarth,0.003703610760337774,0.0,0.23529411764705882,12,0,0.07206967959825275,4,0.5655166666666667,6
18,GaelVaroquaux,0.0023265221355799636,0.009292829916621843,0.21568627450980393,11,25,0.06842434018215972,10,0.3041854838709678,62
19,Remi-Gau,0.002354206400990245,0.00597929143786838,0.21568627450980393,11,4,0.0674413523446978,10,-0.0557258064516129,31
20,reshamas,0.0018901451200873927,0.0,0.21568627450980393,11,0,0.06546194040097614,10,0.07169473684210527,19
21,DeaMariaLeon,0.0018910476143449099,0.011090784714561073,0.19607843137254902,10,12,0.062907183871871,10,0.232855223880597,67
22,koaning,0.0021066417665438126,0.001438679647124475,0.19607843137254902,10,2,0.060097790012519574,10,0.5578086956521738,23
23,larsoner,0.003053921579049459,0.0,0.19607843137254902,10,0,0.06004509804338449,7,0.08795,30
24,stefan6419846,0.0015190113064967956,0.0,0.19607843137254902,10,0,0.059431133934363424,9,0.44577500000000003,16
25,thomasjpfan,0.002087760363373958,0.009392413823745182,0.17647058823529413,9,58,0.056594004763061374,10,0.29647199999999996,175
26,lithomas1,0.0023978408047573,0.00035922861664387096,0.17647058823529413,9,1,0.054008081377484314,7,0.04351999999999998,5
27,cbourjau,0.0023886253659657106,0.0,0.17647058823529413,9,0,0.053896626616974516,6,-0.31505,4
28,AndrewYRoyal,0.0021064333293666568,0.0,0.17647058823529413,9,0,0.0537837498023349,7,0.30065,4
29,fkiraly,0.0018749900205483321,1.5561621758655655e-06,0.17647058823529413,9,1,0.05369163932746033,7,0.2778,20
30,Micky774,0.0021269339369531003,0.01031198911424453,0.1568627450980392,8,24,0.05100319383846636,9,0.4563297872340426,47
31,jeromedockes,0.0013177111152329688,0.009833911566817774,0.1568627450980392,8,5,0.05053608144555028,8,0.31734,20
32,Charlie-XIAO,0.0023238352732006676,0.0052659588056252595,0.1568627450980392,8,34,0.04956814528037961,10,0.17207619047619047,126
33,mayer79,0.002667230715232318,0.003958066561677003,0.1568627450980392,8,2,0.04931313578400779,5,0.19410588235294116,17
34,david-cortes-intel,0.0013904754154372703,0.005105350267609887,0.1568627450980392,8,1,0.049146618775869635,7,0.401495,20
35,Wainberg,0.0020203448981432484,0.0,0.1568627450980392,8,0,0.04786696148866906,7,0.44142499999999996,4
36,DocInspector,0.0019844888300339513,0.0,0.1568627450980392,8,0,0.04785261906142534,7,0.6342125000000001,8
38,tvdboom,0.0019150285195894256,0.0,0.1568627450980392,8,0,0.04782483493724753,6,0.007966666666666677,15
39,aperezlebel,0.0018561960937432326,0.0,0.1568627450980392,8,0,0.04780130196690906,6,0.3809375,8
40,miguelcsilva,0.0016900667664990412,2.0371577574967405e-06,0.1568627450980392,8,1,0.04773546138333863,6,0.6068357142857143,14
41,jolespin,0.0016427476606793306,0.0,0.1568627450980392,8,0,0.0477159225936835,7,0.3172125,8
42,louisabraham,0.0013219671221189932,0.0,0.1568627450980392,8,0,0.047587610378259364,6,0.18017499999999997,4
43,lcrmorin,0.0021713401840939874,0.0030104184860618687,0.13725490196078433,7,3,0.04294813220769145,6,0.12843333333333334,15
44,marenwestermann,0.0014105351326828643,0.0038824361615753073,0.13725490196078433,7,6,0.04290541548978103,10,0.42333125,16
45,snath-xoc,0.0015951417340944222,0.003017991441198384,0.13725490196078433,7,5,0.042719924714232575,7,0.3397222222222222,27
46,AnneBeyer,0.0025260397526043455,0.0009289077297491962,0.13725490196078433,7,17,0.04246555880820179,8,0.20703947368421052,76
47,antipisa,0.0027911398876759408,0.0,0.13725490196078433,7,0,0.04229292654330567,4,0.09015555555555557,9
48,sroener,0.0022654890918505617,0.0,0.13725490196078433,7,0,0.042082666224975515,5,0.3052714285714286,7
49,rebeccaherman1,0.002129360506700154,0.0,0.13725490196078433,7,0,0.042028214790915355,5,0.46126875,16
50,dholzmueller,0.002097406192474095,0.0,0.13725490196078433,7,0,0.042015433065224934,6,0.3549,18
52,mirusu400,0.001562280241508719,0.0,0.13725490196078433,7,0,0.04180138268483878,5,0.39526666666666666,3
53,MarcBresson,0.0018009283232006653,0.004082237580814116,0.11764705882352941,6,2,0.037239160250583325,4,0.21156153846153847,26
54,GaetandeCast,0.0016775823713176907,0.0010964953132066582,0.11764705882352941,6,3,0.036294099189547895,7,0.12175555555555556,9
55,UnixJunkie,0.002188457067776104,0.0,0.11764705882352941,6,0,0.03616950047416927,5,0.19402499999999998,12
57,ZeyuSun,0.002000573890251207,0.0,0.11764705882352941,6,0,0.03609434720315931,4,0.8896999999999999,3
58,dkobak,0.0012504482976147169,0.0009208158224974959,0.11764705882352941,6,6,0.03607054171285396,5,0.09383870967741936,31
59,lucolivi,0.0016928730462052368,0.0,0.11764705882352941,6,0,0.03597126686554092,5,0.1663888888888889,9
61,JasonLiJT,0.0015476153555057301,0.0,0.11764705882352941,6,0,0.03591316378926111,5,0.31858333333333333,6
62,virgile-fsr,0.0015268484086595699,0.0,0.11764705882352941,6,0,0.03590485701052265,5,0.22128571428571428,7
63,ngoldbaum,0.001416223542055122,9.181356837606839e-05,0.11764705882352941,6,3,0.03588815113439369,6,-0.008982608695652169,23
64,Jacob-Stevens-Haas,0.0014797884924494303,0.0,0.11764705882352941,6,0,0.0358860330440386,5,0.40784000000000004,5
65,j-adamczyk,0.0014394370671309887,0.0,0.11764705882352941,6,0,0.035869892473911216,5,0.23205,10
66,samedley-dev,0.001381768281435694,0.0,0.11764705882352941,6,0,0.0358468249596331,5,0.8875833333333333,6
68,qmarcou,0.001207189275123402,0.0,0.11764705882352941,6,0,0.03577699335710818,6,0.29178333333333334,6
69,virchan,0.0014352873946503462,0.015187541646729993,0.09803921568627451,5,41,0.03454214215776149,10,0.3780855670103093,97
70,jondo,0.0013467992717401747,0.0036806722915089522,0.09803921568627451,5,1,0.031054686102031107,5,0.06278333333333332,12
71,xuefeng-xu,0.0013291698316703425,0.0036923549836583584,0.09803921568627451,5,2,0.031051139133647997,5,0.08806666666666667,15
72,gautamvarmadatla,0.0011830476547213813,0.0034120561581448138,0.09803921568627451,5,3,0.03090860061521435,6,0.3255454545454545,11
73,conradstevens,0.0018539702355458267,0.0019163477005770442,0.09803921568627451,5,1,0.030728257110273795,5,0.4397857142857143,7
74,MarcoGorelli,0.001708649555480592,0.001934291500025638,0.09803921568627451,5,7,0.03067551197808228,4,0.45474,25
75,sergiopasra,0.0016762731375484458,0.0017638343225004456,0.09803921568627451,5,2,0.030611424257651863,5,-0.2606857142857143,7
76,ghost,0.0019325849734097309,0.0014014965584086348,0.09803921568627451,5,5,0.030605247662768835,6,-0.045211764705882354,17
78,hswong3i,0.0023180040590330586,0.0,0.09803921568627451,5,0,0.030338966329495575,5,-0.06726,5
79,Aaraviitkgp,0.0016217898505563237,0.0005879213771162927,0.09803921568627451,5,4,0.03023685705923977,5,0.15932272727272725,22
85,Radu1999,0.0017826152292458937,0.0,0.09803921568627451,5,0,0.03012481079758071,3,0.64,3
87,CompRhys,0.001626541771743243,0.0,0.09803921568627451,5,0,0.03006238141457965,4,0.27925,12
88,yonil7,0.0015928266895306033,0.0,0.09803921568627451,5,0,0.030048895381694595,3,-0.36545,4
89,fickas,0.0014677665270289267,0.0,0.09803921568627451,5,0,0.029998871316693924,5,0.22664615384615386,13
90,fkay-codec,0.0014380438581552306,0.0,0.09803921568627451,5,0,0.029986982249144443,4,0.7976,4
91,sktin,0.001178107630598933,0.0003280389866724613,0.09803921568627451,5,1,0.029981419454123664,5,-0.13208571428571428,7
92,I-Al-Istannen,0.0014012625862006027,0.0,0.09803921568627451,5,0,0.029972269740362593,3,0.501375,4
94,jameslamb,0.0013449573210066528,0.0,0.09803921568627451,5,1,0.029949747634285012,5,0.3779142857142857,7
96,Vincent-Maladiere,0.0011216520201838664,0.00027259900968852244,0.09803921568627451,5,1,0.029942205216862455,5,0.1301222222222222,9
97,naveenmarthala,0.0013195487779587268,0.0,0.09803921568627451,5,0,0.029939584217065843,4,0.33654,5
100,Teagum,0.0012607080429070507,0.0,0.09803921568627451,5,0,0.029916047923045173,4,0.4675,4
101,fingoldo,0.0011696851727140466,3.862111581920904e-05,0.09803921568627451,5,1,0.029891225109713735,5,0.6922999999999999,18
102,bioruffo,0.0011382696287328357,0.0,0.09803921568627451,5,0,0.029867072557375487,4,0.806425,4
103,Sana3883,0.0011283589442930143,0.0,0.09803921568627451,5,0,0.02986310828359956,4,0.10375000000000001,4
105,zachmayer,0.0029609528289160554,0.0,0.0784313725490196,4,0,0.024713792896272305,3,0.647,3
106,markusloecher,0.0022566475419356887,0.0,0.0784313725490196,4,0,0.02443207078148016,4,0.6167,9
